State,Specialty,Count,state_total,specialty_total,expected,location_quotient
NE,Preventive Medicine,1,8338,1051.0,6.349105077986889,0.15750251219925787
VI,Neurology,3,187,14711.0,1.9931120275431957,1.5051838323899647
WI,Clinical Neuropsychologist,1,25408,4.0,0.07363399776269497,13.580683249370276
NV,Peripheral Vascular Disease,1,10293,55.0,0.4101593065513624,2.438077069146728
LA,"Technician, Health Information",1,20543,2.0,0.029767459383639852,33.59373022440734
CA,Integrative Medicine,3,139057,24.0,2.4179761083643907,1.2407070481888722
UT,Legal Medicine,2,11191,124.0,1.0053990923265075,1.989259802664007
IL,Nuclear Medicine,3,53002,162.0,6.22092807585971,0.48224315784030514
FL,Anaplastologist,1,93928,1.0,0.06805232743480806,14.694574567754024
CT,Adult Congenital Heart Disease,1,19551,53.0,0.7507455268389662,1.3320092684541542
WI,Licensed Practical Nurse,2,25408,28.0,0.5154379843388648,3.880195214105793
SD,Surgery,1,4029,465.0,1.3573696306128245,0.7367190022871815
PR,Surgical Oncology,7,11379,982.0,8.095869390073553,0.8646384548375728
AL,Geriatric Psychiatry,3,17811,171.0,2.2066442453152804,1.3595304301402544
GU,Nephrology,2,176,9323.0,1.188820430188548,1.6823398632902011
NC,Clinic/Center,1,44019,191.0,6.0914607109529415,0.16416423702806104
GU,Hematology-Oncology,3,176,8974.0,1.1443177668681788,2.6216494114310027
MA,Osteopathic Manipulative Medicine,7,39945,680.0,19.679735001072284,0.35569584649481273
VA,Hematopoietic Cell Transplantation and Cellular Therapy,4,32413,147.0,3.452108775915933,1.1587120394080566
DE,Sports Medicine,3,4341,1743.0,5.4819501359191785,0.5472505085997064
