State,Specialty,total_cost_PR,total_claims_PR,cost_per_claim_PR,total_cost_national,total_claims_national,cost_per_claim_national,cost_per_claim_diff
PR,Psychiatry & Neurology,8216847.630000001,495874.0,16.57,536455817.7000002,4640512.0,115.6,-99.03
PR,Licensed Professional Counselor,224735.93000000002,14160.0,15.87,914834.1399999999,26955.0,33.94,-18.07
PR,Radiation Oncology,33855.02,2157.0,15.7,119226287.42000002,610402.0,195.32,-179.62
PR,Pain Management,92180.76,6046.0,15.25,268152248.03000012,4966733.0,53.99,-38.74
PR,"Emergency Medical Technician, Basic",708.3199999999999,57.0,12.43,708.3199999999999,57.0,12.43,0.0
PR,General Acute Care Hospital,447.28,37.0,12.09,252420.35000000003,7939.0,31.79,-19.7
PR,Thoracic Surgery (Cardiothoracic Vascular Surgery),642.41,57.0,11.27,335520.49,4569.0,73.43,-62.16000000000001
PR,Surgery,458.17,42.0,10.91,1696277.7399999998,22810.0,74.37,-63.46000000000001
PR,Plastic and Reconstructive Surgery,21872.710000000003,2078.0,10.53,8715718.729999995,285468.0,30.53,-20.0
PR,Neurological Surgery,668.1500000000001,71.0,9.41,602126.0700000001,12721.0,47.33,-37.92
PR,Public Health or Welfare Agency,103.54,12.0,8.63,113049.92,924.0,122.35,-113.72
PR,Hand Surgery,15648.09,1832.0,8.54,4974007.809999999,232021.0,21.44,-12.900000000000002
PR,Maxillofacial Surgery,16806.84,2228.0,7.54,2005876.1199999999,334822.0,5.99,1.5499999999999998
PR,Dentist,931540.58,129481.0,7.19,46421965.08000006,8942168.0,5.19,2.0
PR,Sports Medicine,4751.2,708.0,6.71,23806209.88999999,479359.0,49.66,-42.949999999999996
PR,Lodging,80.52,13.0,6.19,80.52,13.0,6.19,0.0
PR,Oral Surgery (Dentist only),118038.41,20494.0,5.76,10521712.570000002,1908455.0,5.51,0.25
PR,Oral & Maxillofacial Surgery,3745.63,735.0,5.1,822918.5099999999,171667.0,4.79,0.3099999999999996
